county_name;teryt;vacs_total;vacs_daily_mean;vacs_2nd_dose_total;vacs_2nd_dose_daily_mean;total_tests_performed;total_sick_count;total_deaths
Cały kraj;t0000;49816531.0;101253.11;18392405.0;37382.94;30747914.0;5017137.0;102449.0
bolesławiecki;t0201;101226.0;205.74;36267.0;73.71;74355.0;12522.0;258.0
dzierżoniowski;t0202;98445.0;200.09;35629.0;72.42;55363.0;9343.0;253.0
głogowski;t0203;101617.0;206.54;34267.0;69.65;60687.0;10971.0;186.0
górowski;t0204;36677.0;74.55;13412.0;27.26;20752.0;3466.0;72.0
jaworski;t0205;56695.0;115.23;20106.0;40.87;27709.0;5271.0;143.0
jeleniogórski;t0206;66948.0;136.07;24647.0;50.1;41047.0;6234.0;187.0
kamiennogórski;t0207;46775.0;95.07;16658.0;33.86;25526.0;3869.0;117.0
kłodzki;t0208;182507.0;370.95;66222.0;134.6;87726.0;15198.0;520.0
legnicki;t0209;62303.0;126.63;22148.0;45.02;32694.0;5993.0;128.0
lubański;t0210;45942.0;93.38;14127.0;28.71;27393.0;6391.0;132.0
lubiński;t0211;170824.0;347.2;65011.0;132.14;73639.0;13925.0;255.0
lwówecki;t0212;60332.0;122.63;22101.0;44.92;33289.0;4498.0;72.0
milicki;t0213;46114.0;93.73;17917.0;36.42;22327.0;5260.0;96.0
oleśnicki;t0214;157921.0;320.98;52889.0;107.5;65899.0;13105.0;163.0
oławski;t0215;56015.0;113.85;22439.0;45.61;56986.0;11031.0;144.0
polkowicki;t0216;58815.0;119.54;19953.0;40.55;40582.0;7822.0;116.0
strzeliński;t0217;52385.0;106.47;18891.0;38.4;27190.0;6068.0;81.0
średzki;t0218;33002.0;67.08;11093.0;22.55;36213.0;7642.0;84.0
świdnicki;t0219;153470.0;311.93;51865.0;105.42;89227.0;17382.0;378.0
trzebnicki;t0220;83945.0;170.62;31333.0;63.68;55868.0;10334.0;149.0
wałbrzyski;t0221;38786.0;78.83;14954.0;30.39;36128.0;5922.0;138.0
wołowski;t0222;55113.0;112.02;19575.0;39.79;30079.0;5656.0;74.0
wrocławski;t0223;142480.0;289.59;52145.0;105.99;143866.0;28776.0;193.0
ząbkowicki;t0224;74780.0;151.99;27560.0;56.02;36577.0;6577.0;153.0
zgorzelecki;t0225;91013.0;184.99;30968.0;62.94;42355.0;10039.0;157.0
złotoryjski;t0226;47251.0;96.04;16473.0;33.48;21959.0;4248.0;86.0
Jelenia Góra;t0261;127843.0;259.84;47029.0;95.59;58639.0;9259.0;328.0
Legnica;t0262;131506.0;267.29;47024.0;95.58;69840.0;12715.0;328.0
Wrocław;t0264;1325322.0;2693.74;495010.0;1006.12;636528.0;115245.0;1135.0
Wałbrzych;t0265;265263.0;539.15;104017.0;211.42;81777.0;12013.0;362.0
aleksandrowski;t0401;146696.0;298.16;63454.0;128.97;36253.0;6417.0;187.0
brodnicki;t0402;102052.0;207.42;38336.0;77.92;45398.0;7738.0;188.0
bydgoski;t0403;110497.0;224.59;41065.0;83.47;112876.0;23224.0;291.0
chełmiński;t0404;59109.0;120.14;21834.0;44.38;42778.0;7014.0;120.0
golubsko-dobrzyński;t0405;46393.0;94.29;17761.0;36.1;31102.0;5510.0;148.0
grudziądzki;t0406;35549.0;72.25;13040.0;26.5;32160.0;5362.0;128.0
inowrocławski;t0407;144492.0;293.68;54735.0;111.25;113334.0;23237.0;617.0
lipnowski;t0408;57725.0;117.33;23359.0;47.48;43038.0;5960.0;157.0
mogileński;t0409;45344.0;92.16;15293.0;31.08;28392.0;5170.0;152.0
nakielski;t0410;109329.0;222.21;41004.0;83.34;62124.0;12586.0;242.0
radziejowski;t0411;50361.0;102.36;20442.0;41.55;23972.0;4942.0;163.0
rypiński;t0412;51862.0;105.41;19190.0;39.0;29391.0;4052.0;126.0
sępoleński;t0413;60752.0;123.48;23769.0;48.31;28750.0;5081.0;104.0
świecki;t0414;114363.0;232.45;41294.0;83.93;78944.0;12568.0;376.0
toruński;t0415;93168.0;189.37;34484.0;70.09;90080.0;17272.0;236.0
tucholski;t0416;55849.0;113.51;20483.0;41.63;33806.0;6122.0;121.0
wąbrzeski;t0417;36886.0;74.97;13549.0;27.54;21987.0;4322.0;109.0
włocławski;t0418;88910.0;180.71;34552.0;70.23;47630.0;8713.0;292.0
żniński;t0419;70669.0;143.64;28137.0;57.19;63525.0;10488.0;232.0
Bydgoszcz;t0461;620574.0;1261.33;219421.0;445.98;339555.0;66226.0;1172.0
Grudziądz;t0462;169014.0;343.52;63500.0;129.07;89515.0;14712.0;366.0
Toruń;t0463;305894.0;621.74;103018.0;209.39;189589.0;34824.0;667.0
Włocławek;t0464;146968.0;298.72;48539.0;98.66;70453.0;12734.0;511.0
bialski;t0601;87723.0;178.3;32076.0;65.2;71828.0;11086.0;382.0
biłgorajski;t0602;77742.0;158.01;29108.0;59.16;63414.0;9205.0;337.0
chełmski;t0603;51311.0;104.29;19334.0;39.3;54908.0;9085.0;231.0
hrubieszowski;t0604;64786.0;131.68;23460.0;47.68;42790.0;6684.0;230.0
janowski;t0605;42546.0;86.48;16503.0;33.54;29686.0;3837.0;139.0
krasnostawski;t0606;59760.0;121.46;21345.0;43.38;47399.0;7385.0;268.0
kraśnicki;t0607;94549.0;192.17;35478.0;72.11;58504.0;9119.0;344.0
lubartowski;t0608;78830.0;160.22;29889.0;60.75;52765.0;8762.0;267.0
lubelski;t0609;119935.0;243.77;44319.0;90.08;128892.0;23111.0;378.0
łęczyński;t0610;54925.0;111.64;21451.0;43.6;43023.0;7611.0;179.0
łukowski;t0611;81588.0;165.83;30965.0;62.94;56790.0;8623.0;323.0
opolski;t0612;66210.0;134.57;24553.0;49.9;32787.0;5858.0;205.0
parczewski;t0613;38477.0;78.21;14487.0;29.45;22742.0;3309.0;117.0
puławski;t0614;138537.0;281.58;52466.0;106.64;95325.0;17933.0;411.0
radzyński;t0615;45188.0;91.85;16821.0;34.19;36945.0;4985.0;213.0
rycki;t0616;71177.0;144.67;27627.0;56.15;40156.0;6323.0;148.0
świdnicki;t0617;69744.0;141.76;25371.0;51.57;62002.0;12250.0;244.0
tomaszowski;t0618;78213.0;158.97;28511.0;57.95;43419.0;6891.0;301.0
włodawski;t0619;47999.0;97.56;18217.0;37.03;28870.0;4799.0;142.0
zamojski;t0620;69373.0;141.0;26840.0;54.55;59782.0;9526.0;365.0
Biała Podlaska;t0661;99269.0;201.77;38026.0;77.29;50288.0;8079.0;201.0
Chełm;t0662;95059.0;193.21;33994.0;69.09;55085.0;8993.0;209.0
Lublin;t0663;612142.0;1244.19;225519.0;458.37;366097.0;60957.0;1132.0
Zamość;t0664;126454.0;257.02;48101.0;97.77;43412.0;7265.0;218.0
gorzowski;t0801;39270.0;79.82;13935.0;28.32;48706.0;9756.0;170.0
krośnieński;t0802;71825.0;145.99;26618.0;54.1;37630.0;6899.0;109.0
międzyrzecki;t0803;79663.0;161.92;28920.0;58.78;50434.0;8890.0;162.0
nowosolski;t0804;129612.0;263.44;45119.0;91.71;72005.0;9759.0;250.0
słubicki;t0805;57819.0;117.52;21167.0;43.02;42121.0;7430.0;116.0
