wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Cały kraj;Cały kraj;5048;1.32;68;8;60;297;10804;165716;20632;5720;14202;710;t0000
dolnośląskie;bolesławiecki;17;1.89;;;;;43;343;33;17;16;0;t0201
dolnośląskie;dzierżoniowski;3;0.30;;;;;7;187;20;5;14;1;t0202
dolnośląskie;głogowski;9;1.01;;;;;20;247;36;10;25;1;t0203
dolnośląskie;górowski;1;0.29;;;;;12;98;7;2;5;0;t0204
dolnośląskie;jaworski;5;1.00;;;;;19;118;20;6;14;0;t0205
dolnośląskie;jeleniogórski;1;0.16;;;;;15;178;9;5;4;0;t0206
dolnośląskie;kamiennogórski;1;0.23;;;;;4;133;14;1;13;0;t0207
dolnośląskie;kłodzki;9;0.57;;;;;14;351;51;9;41;1;t0208
dolnośląskie;legnicki;1;0.18;;;;;2;140;18;1;16;1;t0209
dolnośląskie;lubański;;;;;;;14;283;1;0;1;0;t0210
dolnośląskie;lubiński;4;0.38;;;;1;20;323;36;5;30;1;t0211
dolnośląskie;lwówecki;;;;;;1;6;152;5;0;5;0;t0212
dolnośląskie;milicki;3;0.81;;;;;5;127;10;3;7;0;t0213
dolnośląskie;oleśnicki;20;1.86;;;;;21;379;48;22;26;0;t0214
dolnośląskie;oławski;12;1.56;;;;;5;374;38;13;25;0;t0215
dolnośląskie;polkowicki;2;0.32;;;;;12;151;19;2;17;0;t0216
dolnośląskie;strzeliński;9;2.07;;;;;;137;24;10;13;1;t0217
dolnośląskie;średzki;5;0.90;;;;;12;215;15;5;10;0;t0218
dolnośląskie;świdnicki;7;0.45;;;;;38;783;34;8;26;0;t0219
dolnośląskie;trzebnicki;5;0.59;;;;;19;340;32;7;25;0;t0220
dolnośląskie;wałbrzyski;8;1.44;;;;;16;271;31;10;21;0;t0221
